,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,omega,C,rsq,pvptype
394,642382.0,pvp,mouse,110.2,6.389861771052448,1.33,0.32,53.43016001038664,23.20301067802035,1.3440088462087452,5.664514913361868,0.9886122685550386,Centroid
395,642382.0,pvp,mouse,19.0,3.934112064343543,1.33,0.35,6.70723403734487,7.249673077303742,1.2868941899023658,4.639366612778676,0.9692114494016904,Centroid
396,642382.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.25,17.78881864324039,4.352135298607149,0.7610303198894746,5.543417911451406,0.954547929399713,det
397,642382.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.23,59.473419230732006,9.1752779160587,0.7965794642761586,4.386123963538049,0.9756829366292944,det
398,642382.0,fitts,mouse,64.6,5.27715822476734,1.71,0.26,15.347647055404437,9.84128683567632,1.0239220685645092,5.976936312713335,0.9769244524414676,det
399,642382.0,fitts,mouse,133.0,6.658211482751796,1.33,0.24,74.86718175443627,14.117712104861644,1.0707462389515607,5.923378842941601,0.989158356788837,det
400,642382.0,fitts,mouse,87.4,4.655954332292595,3.61,0.25,28.93681798059262,9.930908032758987,0.8180214125501968,6.72307585348088,0.9931976354738332,det
401,642382.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.24,6.322479678571601,3.540153762722112,0.4445713412888954,2.720305799113661,0.9322767888495896,det
402,642382.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.34,48.674201700039,10.616976068605569,1.0471071943933628,5.072038999223313,0.9783540587780644,det
403,642382.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.29,5.859362571073699,2.4054594505646625,0.4699999991810298,2.694781107252726,0.8218699045326238,det
404,642382.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.34,44.46990226805016,12.448884470536733,1.0082016017490107,5.709284872456281,0.9503536631736528,det
405,642382.0,fitts,touchpad,133.0,6.658211482751796,1.33,0.44,17.525613240122308,15.525956082040553,1.3129780637964483,6.307581737502629,0.99334273502292,det
406,642382.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.36,24.96309307747649,7.082942042957241,1.2304389398725473,5.14312803163281,0.9693589008003488,det
407,642382.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.33,16.162188864571434,4.884071886756773,1.0429638531039185,2.762941880809976,0.886810302602901,det
408,642382.0,pvp,controller,87.4,6.0599238176520585,1.33,0.66,32.12672136818855,13.31611205775936,3.3461799169070456,2.1406631247212093,0.9899159309219572,det
409,642382.0,pvp,controller,110.2,6.389861771052448,1.33,0.61,47.11784059403311,12.473565536211408,3.293030487135565,1.820311079295445,0.9746833984556414,det
410,642382.0,pvp,controller,19.0,3.934112064343543,1.33,0.55,-2.352976015591762,7.278709926114773,2.7578048466218643,1.651634379383657,0.962119730257518,det
